Pattern_Type,AppID_Pattern,Application,Usage,Company,Priority,Data_Source
Like,M8MULPRC%,Micro Strategy,Analytics,Micro Strategy,2758,manual
Like,MULTLOAD%,MultiLoad (Deprecated),ETL,Teradata,2763,manual
Like,MVC_Tool%,MVC Tool,ETL,Teradata,2764,manual
Like,ODBCAD32%,ODBC Administrator 32-Bit,Application,Microsoft,2774,manual
Like,PLSQLDEV%,PL/SQL,Analytics,Unknown,2787,manual
Like,RSESSION%,R Statistical Software,Analytics,Unknown,2802,manual
Like,ECHILOAD%,S3 Transfer,Analytics,Amazon,2808,manual
Like,SPOTFIRE%,Spotfire,Application,TIBCO,2816,manual
Like,QUERYMAN%,SQL Assistant (Deprecated),Analytics,Teradata,2820,manual
Like,ODBCTE32%,SQL Server,ETL,Microsoft,2822,manual
Like,SQLSERVR%,SQL Server,ETL,Microsoft,2823,manual
Like,%Tableau%,Tableau,Analytics,Tableau,2840,manual
Like,TDKERNEL%,TDKERNEL,Unknown,Teradata,2843,manual
Like,TPCBATCH%,TPCBATCH,Unknown,Unknown,2849,manual
Like,RUNDLL32%,Windows Command Agent,Application,Microsoft,2877,manual
Like,SPOTFIRE%,Spotfire,Application,TIBCO,2884,manual
Like,TABPROTO%,Tableau,Analytic,SalesForce,2896,manual
Like,M8MULPRC%,Microstrategy,Analytic,Microstrategy,2904,manual
Like,QUERYMAN%,SQLAssistant,Analytic,Teradata,2905,manual
Like,SQLA:NET%,SQLAssistant,Analytic,Teradata,2907,manual
Like,EXECUTOR%,TTU,ETL,Teradata,2908,manual
Like,FASTLOAD%,TTU,ETL,Teradata,2909,manual
Like,MULTLOAD%,TTU,ETL,Teradata,2910,manual
Like,RUNDLL32%,Unknown,Unknown,Unknown,2911,manual
Like,SQLSERVR%,MS SQL Server,ETL,Microsoft,2920,manual
Like,OLAPISVR%,Oracle Hyperion Essbase,Application,Oracle,2928,manual
Like,PMDTMSVC%,Informatica,ETL,Informatica,2935,manual
Like,MSACCESS%,MS Office,Analytic,Microsoft,2949,manual
Like,POWERPNT%,MS Office,Analytic,Microsoft,2951,manual
Like,%POWERBI%,PowerBI,Analytic,Microsoft,2960,manual
Like,%TABLEAU%,Tableau,Analytic,SalesForce,2961,manual
Like,RAYTHEON%,Raytheon Inspect Analytics,Analytic,Raytheon,2966,manual
Like,ACLDA64%,ACL for Win,Analytics,Highbond,3562,manual
Like,ADEPTRA%,Adeptra,Analytics,FICO,3563,manual
Like,Airflow%,Airflow,Application,Apache,3568,manual
Like,ALTERYX%,Alteryx Analytics,Analytics,Alteryx,3570,manual
Like,ARCMAIN%,Archive (Deprecated),Backup-Restore,Teradata,3575,manual
Like,BRIOQRY%,BrioQry,Analytics,Brio,3581,manual
Like,%FCPROC%,Business Objects,Analytics,SAP,3586,manual
Like,TRANSDA%,Cognos Business Intelligence,Analytics,IBM,3601,manual
Like,TRNSFRMR,Cognos Business Intelligence,Analytics,IBM,3603,manual
Like,CSIFEED%,CSIFEED,Unknown,Unknown,3618,manual
Like,DG4ODBC%,DB Gateway For Teradata,Analytics,Oracle,3621,manual
Like,SEGUIDE%,Enterprize Guide,Analytics,SAS,3630,manual
Like,FASTEXP%,FastExport (Deprecated),ETL,Teradata,3634,manual
Like,SSGODBC%,Informatica,ETL,Informatica,3649,manual
Like,MXSTASK%,Kalido MDM,ETL,Magnitude,3673,manual
Like,TDXODBC%,Linux ODBC Driver,Analytics,Teradata,3677,manual
Like,NLEIACT%,Lotus Enterprise Integrator,ETL,IBM,3681,manual
Like,OLELOAD%,OLELoad (Deprecated),ETL,Teradata,3702,manual
Like,OUTLOOK%,Outlook,Application,Microsoft,3705,manual
Like,PHANTOM%,PhantomBuster CRM,Analytics,PhantomBuster,3710,manual
Like,CSPPEEK%,PkgPlus,Support,Teradata,3713,manual
Like,PowerBI%,Power BI,Analytics,Microsoft,3717,manual
Like,RSCRIPT%,R Statistical Software,Analytics,Unknown,3733,manual
Like,COMPSRV%,SAS,Analytics,SAS,3737,manual
Like,SERVICE%,SERVICE,Unknown,Unknown,3740,manual
Like,MSMDSRV%,SQL Server Analysis Services (SSAS),Analytics,Microsoft,3754,manual
Like,TDWMDIP%,TDWM DIP,Support,Teradata,3771,manual
Like,TITAN2_%,TITAN2_,Unknown,Unknown,3774,manual
Like,TPTLOAD%,TPT Load,ETL,Teradata,3779,manual
Like,TPTSTRM%,TPT Stream,ETL,Teradata,3780,manual
Like,TPUMPEXE,TPump (Deprecated),ETL,Teradata,3783,manual
Like,DBEAVER%,Universal DataBase Client,Analytics,DBeaver,3789,manual
Like,%VSHOST%,Visual Studio,Application,Microsoft,3802,manual
Like,CSCRIPT%,Windows CScript Script Host,Application,Microsoft,3805,manual
Like,WSCRIPT%,Windows WScript Script Host,Application,Microsoft,3807,manual
Like,ALTERYX%,Alteryx,Analytic,Alteryx,3839,manual
Like,TRANSDA%,Cognos,Analytic,IBM,3840,manual
Like,MSQRY32%,MS Office,Analytic,Microsoft,3841,manual
Like,TDWMDIP%,Teradata,Internal,Teradata,3842,manual
Like,FASTEXP%,TTU,Export,Teradata,3843,manual
